,Location_name,Location_id,Latitude,Longitude
539,MOZI,912,33.95,130.97
540,ARGENTINE_ISLANDS,913,-65.25,-64.26
541,WALVIS_BAY,914,-22.95,14.5
542,MALIN_HEAD,916,55.37,-7.33
543,SOPOCHNAIA_KARGA,917,71.87,82.7
544,TUXPAN,918,21.0,-97.33
545,PADRE_ISLAND,919,26.07,-97.15
546,ZHAPO,933,21.58,111.82
547,KANMEN,934,28.08,121.28
548,DARWIN,935,-12.47,130.85
549,HEYSHAM,936,54.03,-2.92
550,ZHOHOVA,937,76.15,152.83
551,KNYSNA,950,-34.05,23.05
552,PORTNEUF,951,46.68,-71.88
553,SIBAURA,952,35.63,139.75
554,CAIRNS,953,-16.92,145.78
555,MOKPO,954,34.78,126.38
556,BUSAN,955,35.1,129.04
557,INCHEON,956,37.45,126.59
558,ALBANY,957,-35.03,117.89
559,SETE,958,43.4,3.7
560,ALICANTE,960,38.34,-0.48
561,CHINHAE,970,35.15,128.65
562,LUSI,979,32.13,121.62
563,TOULON,980,43.11,5.91
564,GIBRALTAR,981,36.15,-5.36
565,DEVONPORT,982,50.37,-4.19
566,COCOS_ISLAND,983,-12.12,96.89
567,BELLA_BELLA,984,52.17,-128.13
568,CADIZ_III,985,36.54,-6.29
569,PORT_TARANAKI,996,-39.06,174.03
570,ULSAN,997,35.5,129.39
571,TIMARU_HARBOUR,998,-44.39,171.26
572,ST-FRANCOIS,999,47.0,-70.82
573,TUKTOYAKTUK,1000,69.42,-132.97
574,SAN_JUAN,1001,18.46,-66.11
575,TRIBENI,1002,22.98,88.4
576,HONNGU,1003,18.8,105.77
577,CHAMPLAIN,1005,46.43,-72.4
578,PESCHANYI,1006,79.43,102.48
579,WONSAN,1007,39.17,127.45
580,KOPER,1009,45.55,13.72
581,ACAJUTLA,1011,13.57,-89.83
582,KRENKELIA,1012,80.62,58.05
583,RINCON_ISLAND,1013,34.35,-119.44
584,NASE_II,1018,28.38,129.5
585,SAGYLLAH-ARY,1019,73.15,128.88
586,CIUDAD_MADERO,1020,22.25,-97.8
587,ONISAKI,1026,34.9,136.82
588,OSHORO_II,1027,43.21,140.86
589,HIROSIMA,1028,34.35,132.46
590,FUNCHAL,1030,32.64,-16.91
591,GERALDTON,1031,-28.78,114.6
592,ILHA_FISCAL,1032,-22.9,-43.17
593,STONY_POINT,1033,-38.37,145.22
594,TAI_PO_KAU,1034,22.44,114.18
595,AMRUM,1036,54.62,8.38
596,BORKUM,1037,53.56,6.75
597,PORT_MANSFIELD,1038,26.55,-97.42
598,TEMA,1049,5.62,0.0
599,MIYAKE_SIMA,1060,34.07,139.48
600,KOZU_SIMA,1061,34.21,139.13
601,MATSUYAMA_II,1062,33.86,132.71
602,MINAMI_IZU,1064,34.62,138.88
603,WHANGAREI_HARBOUR,1065,-35.76,174.35
604,JEJU,1066,33.53,126.54
605,ANCHORAGE,1067,61.24,-149.89
606,BRIDGEPORT,1068,41.17,-73.18
607,VICTOR_HARBOUR,1069,-35.56,138.64
608,SELDOVIA,1070,59.44,-151.72
609,PORT_HARDY,1071,50.72,-127.48
610,TUTICORIN,1072,8.75,78.2
611,ROSYTH,1074,56.02,-3.45
612,BAR,1075,42.08,19.08
613,POINTE_ST. GILDAS,1078,47.13,-2.25
614,SANTO_TOMAS_DE_CASTILLA,1080,15.7,-88.62
615,MAISAKA,1089,34.68,137.61
616,URAGAMI,1090,33.56,135.9
617,OKADA,1091,34.79,139.39
618,AWA_SIMA,1093,38.47,139.25
619,HAKATA,1094,33.62,130.41
620,SAIGO,1095,36.2,133.33
621,NISINOOMOTE,1096,30.73,130.99
622,ODOMARI,1097,31.02,130.69
623,SUMOTO,1098,34.34,134.91
624,OSAKA,1099,34.66,135.43
625,NAGASAKI,1100,32.73,129.87
626,FUKUE,1101,32.7,128.85
627,OURA,1102,32.98,130.22
628,WAKKANAI,1103,45.41,141.69
629,ABASHIRI,1104,44.02,144.29
630,NAKANO_SIMA,1105,29.84,129.85
631,FORT_MYERS,1106,26.65,-81.87
632,NAPLES,1107,26.13,-81.81
633,MUKHO,1108,37.55,129.12
634,WICK,1109,58.44,-3.09
635,NANTUCKET_ISLAND,1111,41.28,-70.1
636,ULLAPOOL,1112,57.9,-5.16
637,HELGEROA,1113,59.0,9.86
638,ESPERANCE,1114,-33.87,121.9
639,CARNARVON,1115,-24.9,113.65
640,WYNDHAM,1116,-15.45,128.1
641,DEVONPORT,1118,-41.18,146.36
642,PICTOU,1121,45.68,-62.7
643,ANTIPAIUTA,1128,69.08,76.85
